original,code_mixed,sentiment,mix_ratio,base_lang,mix_profile
Normal experience. Customer service was okay. Will see how it goes.,Normal encounter Customer service was okay. Will see how it goes.,neutral,0.5,tamil,medium
Excellent value for money. Premium quality at affordable price.,Excellent value for money. Premium quality at affordable price.,positive,0.2,bengali,low
Love how they charge premium prices for such wonderful quality!,Enjoy how they charge premium prices for such wonderful grade,sarcastic,0.2,hindi,low
Best customer experience I have had in years! Amazing team.,Best customer wah wah amazing I have had in years! Amazing team.,positive,0.5,tamil,medium
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described Totally worth it! 🙄,sarcastic,0.5,malayalam,injected_sarcasm
"Average experience. Some things good, some things could be better.","Some things could be better., average experience. some things good",neutral,0.8,tamil,high
The app is functional. Basic features work. Nothing impressive.,"thik ache, idhu epadi iruku theriyala, the app is functional. basic features work. nothing impressive.",neutral,0.5,tamil,medium
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing kuch khas nahi extraordinary but does the job.,neutral,0.5,hindi,medium
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.2,malayalam,low
Excellent value for money. Premium quality at affordable price.,"shandar service, bahut accha hai, excellent value for money. premium quality at affordable price.",positive,0.5,hindi,medium
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable caliber,neutral,0.5,malayalam,medium
Love how they charge premium prices for such wonderful quality!,Enjoy how they charge premium prices for such wonderful quality!,sarcastic,0.5,malayalam,medium
"Just tried their new product and it is fantastic, love it!","Yeah right, just tried their new product and it is fantastic, love it... wow. waste panra",sarcastic,0.5,malayalam,injected_sarcasm
Product exceeded my expectations. Absolutely perfect!,Product exceeded my expectations. Absolutely perfect!,positive,0.2,bengali,low
Quality is okay but the price is a bit high for what you get.,Quality is okay but the price is a bit high for what you get.,neutral,0.2,tamil,low
"Delivery was on time. The product is alright, nothing special.","Delivery was on time. The product is alright, nothing special.",neutral,0.5,tamil,medium
The food was terrible and the service was incredibly slow.,The food was terrible and the service was incredibly slow.,negative,0.2,hindi,low
Delivery was fast and packaging was perfect. Thank you!,Delivery was speedy superb aayirunnu packaging was perfect. Thank you!,positive,0.8,bengali,high
